Date,Open,High,Low,Close,Adj Close,Volume
2018-04-11,76.199997,76.199997,75.449997,75.489998,65.236832,386100
2018-04-12,75.480003,75.699997,75.160004,75.510002,65.254128,333900
2018-04-13,75.930000,76.019997,75.120003,75.279999,65.055336,346100
2018-04-16,75.750000,75.760002,75.250000,75.699997,65.418304,276800
2018-04-17,76.000000,76.000000,75.449997,75.510002,65.254128,333700
2018-04-18,75.550003,75.800003,75.199997,75.199997,64.986221,248400
2018-04-19,75.410004,75.470001,74.820000,75.019997,64.830681,302800
2018-04-20,75.099998,75.389999,74.870003,74.949997,64.770172,691800
2018-04-23,74.830002,75.110001,74.730003,74.900002,64.726974,343900
2018-04-24,75.139999,75.769997,75.120003,75.410004,65.167686,440000
2018-04-25,75.239998,75.779999,74.879997,75.629997,65.357803,409000
2018-04-26,75.629997,76.360001,75.629997,76.029999,65.703476,914800
2018-04-27,76.099998,76.820000,76.099998,76.669998,66.256554,370800
2018-04-30,75.910004,76.470001,75.910004,75.930000,66.243469,400300
2018-05-01,75.760002,76.139999,75.260002,75.980003,66.287094,295100
2018-05-02,75.980003,76.370003,75.809998,75.970001,66.278358,264900
2018-05-03,75.940002,76.169998,75.290001,75.739998,66.077705,363200
2018-05-04,75.320000,76.489998,75.129997,76.260002,66.531372,214400
2018-05-07,76.300003,76.720001,76.190002,76.430000,66.679695,182900
2018-05-08,76.330002,76.870003,76.150002,76.870003,67.063553,339600
2018-05-09,77.190002,78.010002,76.900002,77.830002,67.901100,311100
2018-05-10,78.489998,78.860001,78.160004,78.660004,68.625206,296700
2018-05-11,78.730003,78.900002,78.510002,78.760002,68.712440,214400
2018-05-14,78.959999,79.379997,78.860001,78.949997,68.878204,250300
2018-05-15,78.160004,78.809998,78.059998,78.599998,68.572853,361700
2018-05-16,78.559998,79.239998,78.559998,79.190002,69.087578,172400
2018-05-17,79.029999,79.360001,78.839996,79.330002,69.209732,215200
2018-05-18,79.019997,79.019997,78.220001,78.419998,68.415817,174900
2018-05-21,78.860001,78.989998,78.660004,78.750000,68.703728,100900
